SVD 32 Features	SVD 64 Features	SVD 128 Features	Slope One
0.9066860547918174	0.9227246578865241	0.9293658134843735	0.9278009709298835
0.9348457551968878	0.9098521730062736	0.9324023701551	0.9021124389841585
0.9170745974401259	0.9172101980481737	0.9073189282152864	0.9203408600395744
0.9225044218993618	0.9133356964622295	0.9317619659527305	0.9031954266303165
0.9174745536158979	0.9110055733866232	0.9220863319061872	0.937555047648893
0.9270853825562227	0.919832865094306	0.923798539039363	0.9293380085402628
0.9193662342415313	0.9149033585528243	0.9190781325334076	0.940012085760784
0.926070641221281	0.9263246286714634	0.9078886230223183	0.906593693949098
0.922391258894414	0.9286713554858689	0.9158390672304061	0.9089213057026474
0.9125220285095205	0.9011629912724478	0.9077086694864533	0.9152696243292174
0.9206226226439923	0.9203323266919073	0.9351646600093895	0.9037335033926357
0.912503725472955	0.8969935857451332	0.9295105881800532	0.917447001538329
0.9200895551550102	0.9196390753664561	0.9053557707851032	0.9355538811684464
0.8953226355775314	0.9224895336497403	0.9119547177068875	0.922690386419807
0.9311078922480198	0.9305221019997493	0.9197467220724838	0.9168790738900774
0.9310114230246456	0.9008255207313103	0.9035947256471384	0.9258286902189878
0.9251541708792089	0.9131305964206987	0.9327588577175634	0.9322625064347186
0.9167415664043363	0.9205421449676048	0.9345939397582399	0.9109138808702383
0.9038664127390915	0.9023622676486003	0.9153681436410147	0.9111761621024
0.9305024049278068	0.9240275848916897	0.9367149433531986	0.9176232662852016
